"sensory","trait","species","var.comp"
"sugar","liking","blueberry",17.7288235098012
"acids","liking","blueberry",21.7551469436147
"AA","liking","blueberry",4.0800522974628
"phe","liking","blueberry",6.36842191915659
"carot","liking","blueberry",21.1781943103057
"lipid","liking","blueberry",9.06272401637552
"ester","liking","blueberry",15.3395291569383
"residual","liking","blueberry",4.48710784634521
"sugar","sweetness","blueberry",26.8203014651195
"acids","sweetness","blueberry",33.131319363273
"AA","sweetness","blueberry",6.05932111965312e-06
"phe","sweetness","blueberry",8.89224359526708
"carot","sweetness","blueberry",4.43883990375928
"lipid","sweetness","blueberry",8.08982534025305
"ester","sweetness","blueberry",11.625047386379
"residual","sweetness","blueberry",7.00241688662792
"sugar","sour","blueberry",4.48007911488114
"acids","sour","blueberry",38.3126990878691
"AA","sour","blueberry",0.239754403959497
"phe","sour","blueberry",3.60078322632457
"carot","sour","blueberry",17.4111015764134
"lipid","sour","blueberry",31.2780044444493
"ester","sour","blueberry",3.24887541767952
"residual","sour","blueberry",1.42870272842352
"sugar","intensity","blueberry",53.0826440449197
"acids","intensity","blueberry",2.10438708114434
"AA","intensity","blueberry",8.42028423195432
"phe","intensity","blueberry",5.04689011616366
"carot","intensity","blueberry",3.47962659317732e-06
"lipid","intensity","blueberry",7.83054259576107
"ester","intensity","blueberry",16.9404634345795
"residual","intensity","blueberry",6.57478501585082
"sugar","liking","tomato",43.2620129862418
"acids","liking","tomato",9.15988235977515
"AA","liking","tomato",7.07433112406951
"phe","liking","tomato",16.3367136522627
"carot","liking","tomato",5.10370737439684
"lipid","liking","tomato",13.0635939511926
"residual","liking","tomato",5.99975855206143
"sugar","sweetness","tomato",29.3085072311793
"acids","sweetness","tomato",7.83941415220252
"AA","sweetness","tomato",5.71812545624264
"phe","sweetness","tomato",34.1194380990468
"carot","sweetness","tomato",6.32926046086686
"lipid","sweetness","tomato",15.7204674085637
"residual","sweetness","tomato",0.964787191898103
"sugar","sour","tomato",23.5599428787632
"acids","sour","tomato",53.9216774458231
"AA","sour","tomato",6.20124539154595
"phe","sour","tomato",4.46335826097737
"carot","sour","tomato",0.226096770345635
"lipid","sour","tomato",10.9420734556838
"residual","sour","tomato",0.685605796860897
"sugar","umami","tomato",12.6226350208336
"acids","umami","tomato",16.9313756333343
"AA","umami","tomato",4.24705769967542
"phe","umami","tomato",3.01516937020711
"carot","umami","tomato",18.6484618167568
"lipid","umami","tomato",43.8158311480967
"residual","umami","tomato",0.719469311096076
"sugar","intensity","tomato",10.5059302873634
"acids","intensity","tomato",20.9122679729225
"AA","intensity","tomato",7.59385958083686
"phe","intensity","tomato",32.5541662259884
"carot","intensity","tomato",1.00698349122452
"lipid","intensity","tomato",26.9353667957959
"residual","intensity","tomato",0.491425645868392
